,Name,Price,Rating
0,Tiny home in Millersburg,"₹13,623",4.86
1,Tiny home in Millersburg,"₹17,014",4.88
2,Tiny home in Hondo,"₹23,299",4.99
3,Chalet in Skykomish,"₹19,630",4.86
4,Cabin in Cortez,"₹21,956",4.99
5,Cabin in Granite Falls,"₹34,578",4.92
6,Campervan/Motorhome in Wapato,"₹13,051",4.92
7,Cabin in Walden,"₹9,170",4.95
8,Treehouse in Trenton,"₹28,497",5.0
9,Cabin in South Haven,"₹18,586",4.77
10,Tiny home in Blue Ridge,"₹13,530",4.98
11,Cabin in Garden Valley,"₹23,022",4.96
12,Bungalow in Asheville,"₹52,946",4.99
13,Cabin in Tetonia,"₹21,241",4.98
14,Cabin in Pavo,"₹11,028",4.97
15,Farm stay in Sandy Valley,"₹9,987",4.92
16,Home in Hudson,"₹84,642",4.95
17,Tiny home in Aguanga,"₹14,763",4.97
18,Treehouse in Olympia,"₹17,074",4.95
19,Home in Two Rivers,"₹47,076",4.92
